STATE_CODE,DISTRICT
TN,Tenkasi
TN,Thanjavur
TN,Theni
TN,Thoothukudi
TN,Tiruchirappalli
TN,Tirunelveli
TN,Tirupattur
TN,Tiruppur
TN,Tiruvallur
TN,Tiruvannamalai
TN,Tiruvarur
TN,Vellore
TN,Viluppuram
TN,Virudhunagar
TG,Adilabad
TG,Kumuram Bheem
TG,Mancherial
TG,Nirmal
TG,Nizamabad
TG,Jagitial
TG,Peddapalli
TG,Kamareddy
TG,Rajanna Sircilla
TG,Karimnagar
TG,Jayashankar
TG,Sangareddy
TG,Medak
TG,Siddipet
TG,Jangaon
TG,Hanamkonda
TG,Warangal
TG,Mulugu
TG,Bhadradri
TG,Khammam
TG,Mahabubabad
TG,Suryapet
TG,Nalgonda
TG,Yadadri
TG,Medchal–Malkajgiri
TG,Hyderabad
TG,Ranga Reddy
TG,Vikarabad
TG,Narayanpet
TG,Mahabubnagar
TG,Nagarkurnool
TG,Wanaparthy
TG,Jogulamba
TR,Dhalai
TR,North Tripura
TR,South Tripura
TR,West Tripura
UP,Agra
UP,Mathura
UP,Mainpuri
UP,Firozabad
UP,Aligarh
UP,Etah
UP,Hathras
UP,Kasganj
UP,Prayagraj
UP,Fatehpur
UP,Kaushambi
UP,Pratapgarh
UP,Azamgarh
UP,Ballia
UP,Mau
UP,Bareilly
UP,Pilibhit
UP,Shahjahanpur
UP,Badaun
UP,Basti
UP,Sant Kabir Nagar
UP,Siddharthnagar
UP,Banda
UP,Chitrakoot
UP,Hamirpur
UP,Mahoba
UP,Bahraich
UP,Balarampur
UP,Gonda
UP,Shravasti
UP,Ayodhya district
UP,Ambedkar Nagar
UP,Barabanki
UP,Sultanpur
UP,Amethi
UP,Deoria
UP,Gorakhpur
UP,Kushinagar
UP,Maharajganj
UP,Jalaun
UP,Jhansi
UP,Lalitpur
UP,Auraiya
UP,Etawah
UP,Farrukhabad
UP,Kannauj
UP,Kanpur Dehat
UP,Kanpur Nagar
UP,Hardoi
UP,Lakhimpur Kheri
UP,Lucknow
UP,Raebareli
UP,Sitapur
UP,Unnao
UP,Baghpat
UP,Bulandshahar
UP,Gautam Buddha Nagar
UP,Ghaziabad
UP,Meerut
UP,Hapur
UP,Mirzapur
UP,Sant Ravidas Nagar
UP,Sonbhadra
UP,Bijnor
UP,Amroha
UP,Moradabad
UP,Rampur
UP,Sambhal
UP,Muzaffarnagar
UP,Saharanpur
UP,Shamli
UP,Chandauli
UP,Ghazipur
UP,Jaunpur
UP,Varanasi
UT,Almora
UT,Bageshwar
UT,Chamoli
UT,Champawat
UT,Dehradun
UT,Haridwar
UT,Nainital
UT,Pauri Garhwal
UT,Pithoragarh
UT,Rudraprayag
UT,Tehri Garhwal
UT,Udham Singh Nagar
UT,Uttarkashi
WB,Alipurduar
WB,Bankura
WB,Paschim Bardhaman
WB,Purba Bardhaman
WB,Birbhum
WB,Cooch Behar
WB,Darjeeling
WB,Dakshin Dinajpur
WB,Hooghly
WB,Howrah
WB,Jalpaiguri
WB,Jhargram
WB,Kolkata
WB,Kalimpong
WB,Malda
WB,Paschim Medinipur
WB,Purba Medinipur
WB,Murshidabad
WB,Nadia
WB,North 24 Parganas
WB,South 24 Parganas
WB,Purulia
WB,Uttar Dinajpur
AN,Nicobar
AN,North and Middle Andaman
AN,South Andaman
CH,Chandigarh
DD,Daman
DD,Diu
DN,Dadra and Nagar Haveli
JK,Kathua
JK,Jammu
JK,Samba
JK,Udhampur
JK,Reasi
JK,Rajouri
JK,Poonch
JK,Doda
JK,Ramban
JK,Kishtwar
JK,Anantnag
JK,Kulgam
JK,Pulwama
JK,Shopian
JK,Budgam
JK,Srinagar
JK,Ganderbal
JK,Bandipora
JK,Baramulla
JK,Kupwara
LA,Kargil
LA,Leh
LD,Lakshadweep
DL,Central Delhi
DL,East Delhi
DL,New Delhi
DL,North Delhi
DL,North East Delhi
DL,North West Delhi
DL,Shahdara
DL,South Delhi
DL,South East Delhi
DL,South West Delhi
DL,West Delhi
PY,Karaikal
PY,Mahé
PY,Pondicherry
PY,Yanam
